n_workers,n_threads,n_partitions,load_time,rotation_time,mapping_time,compute_time,total_time
1,1,4,7.428455352783203,0.025273561477661133,0.00148773193359375,11.097687005996704,18.553346872329712
1,2,4,5.7247467041015625,0.018910646438598633,0.0006687641143798828,10.564735651016235,16.30920648574829
1,3,4,5.6987080574035645,0.020392894744873047,0.001051187515258789,9.944534540176392,15.665309429168701
1,4,4,6.012146711349487,0.01978588104248047,0.0012323856353759766,9.9005708694458,15.933925867080688
1,5,4,6.266317367553711,0.021146774291992188,0.0019087791442871094,10.046870946884155,16.336411714553833
1,6,4,5.861666917800903,0.020147085189819336,0.001287698745727539,9.967272281646729,15.850964784622192
1,7,4,5.868250131607056,0.019962310791015625,0.001216888427734375,9.738377809524536,15.627973794937134
1,8,4,5.6401143074035645,0.02001357078552246,0.0008304119110107422,9.840061902999878,15.501195907592773
2,1,8,5.671759843826294,0.020010948181152344,0.0008490085601806641,5.78085732460022,11.473653078079224
2,2,8,5.778929710388184,0.020489215850830078,0.0008602142333984375,5.753886699676514,11.55449628829956
2,3,8,5.645793914794922,0.01940774917602539,0.0004947185516357422,5.601201295852661,11.26704216003418
2,4,8,5.709934711456299,0.020637989044189453,0.0012545585632324219,5.731928110122681,11.463923215866089
2,5,8,5.890012264251709,0.020243406295776367,0.0009596347808837891,6.031902551651001,11.943288803100586
2,6,8,6.106403827667236,0.020349740982055664,0.0020334720611572266,5.877640962600708,12.006587266921997
2,7,8,6.141107559204102,0.019440174102783203,0.0029921531677246094,5.787925481796265,11.951594829559326
2,8,8,5.940242767333984,0.0201718807220459,0.0007135868072509766,5.702503681182861,11.663785457611084
3,1,12,5.659488201141357,0.019700050354003906,0.006186485290527344,4.555586814880371,10.241350173950195
3,2,12,5.767261743545532,0.01961970329284668,0.0006701946258544922,4.416191577911377,10.203918218612671
3,3,12,5.689805030822754,0.019910335540771484,0.006150007247924805,4.496728181838989,10.212762355804443
3,4,12,5.93645453453064,0.019671201705932617,0.0009481906890869141,4.324629306793213,10.281894445419312
3,5,12,5.830665111541748,0.019910335540771484,0.006941556930541992,4.568134307861328,10.425797462463379
3,6,12,5.934239387512207,0.019913911819458008,0.0012943744659423828,4.552850723266602,10.50846529006958
3,7,12,5.982836961746216,0.020198822021484375,0.0007867813110351562,4.578735113143921,10.583266735076904
3,8,12,5.982125520706177,0.022012710571289062,0.0016314983367919922,4.679511547088623,10.68633246421814
4,1,16,5.875495910644531,0.019786834716796875,0.0008211135864257812,3.7217719554901123,9.61807107925415
4,2,16,5.689443111419678,0.01963210105895996,0.0006940364837646484,3.724874258041382,9.435086011886597
4,3,16,5.643520355224609,0.019863367080688477,0.0007383823394775391,3.76697039604187,9.431222915649414
4,4,16,5.695188999176025,0.01966381072998047,0.0006954669952392578,3.8352928161621094,9.550971984863281
4,5,16,5.70387601852417,0.019691944122314453,0.0007293224334716797,3.674548864364624,9.399080991744995
4,6,16,5.8230369091033936,0.020195484161376953,0.00113677978515625,3.803683042526245,9.648235082626343
4,7,16,5.925875902175903,0.02115464210510254,0.0007452964782714844,3.807149887084961,9.755849361419678
4,8,16,6.037808179855347,0.0204770565032959,0.0010061264038085938,3.8518178462982178,9.911291599273682
5,1,20,5.97100567817688,0.020283222198486328,0.0007863044738769531,3.9777841567993164,9.970052480697632
5,2,20,5.9641382694244385,0.02157115936279297,0.0017049312591552734,4.058835983276367,10.047266960144043
5,3,20,5.955992698669434,0.019958972930908203,0.0008697509765625,4.1290974617004395,10.106117010116577
5,4,20,6.102955102920532,0.0206143856048584,0.0010564327239990234,3.8134238719940186,9.938181400299072
5,5,20,5.660074710845947,0.020183563232421875,0.0006690025329589844,3.935778856277466,9.616880893707275
5,6,20,5.666948556900024,0.018935680389404297,0.0007083415985107422,3.911810874938965,9.598541259765625
5,7,20,5.8846447467803955,0.02024078369140625,0.0009419918060302734,3.881664752960205,9.789470911026001
5,8,20,5.94429874420166,0.020718812942504883,0.0012867450714111328,3.9274299144744873,9.893856048583984
6,1,24,6.089673280715942,0.02121257781982422,0.005621671676635742,4.096641302108765,10.21329641342163
6,2,24,6.183389186859131,0.020975828170776367,0.0015752315521240234,4.201333045959473,10.40816330909729
6,3,24,5.832964658737183,0.020169734954833984,0.008040904998779297,3.9290733337402344,9.790376901626587
6,4,24,5.695099592208862,0.0195620059967041,0.0007193088531494141,4.028295993804932,9.744088411331177
6,5,24,5.6244940757751465,0.02001214027404785,0.010920047760009766,3.9931507110595703,9.648744106292725
6,6,24,5.870628356933594,0.020259857177734375,0.0008106231689453125,3.991814136505127,9.88363003730774
6,7,24,5.922773838043213,0.020309925079345703,0.0007939338684082031,4.006608963012695,9.950834274291992
6,8,24,6.089627265930176,0.020757198333740234,0.0017457008361816406,4.019968032836914,10.132249593734741
7,1,28,6.048989772796631,0.019637584686279297,0.0007207393646240234,4.218297481536865,10.287803649902344
7,2,28,5.933165073394775,0.019908905029296875,0.0009953975677490234,4.0695202350616455,10.026150226593018
7,3,28,5.68817663192749,0.019056320190429688,0.0008604526519775391,3.8525443077087402,9.560784816741943
7,4,28,5.678264379501343,0.01920938491821289,0.0007166862487792969,4.187743186950684,9.886083602905273
7,5,28,5.7983667850494385,0.02011871337890625,0.0010187625885009766,4.119762897491455,9.939435958862305
7,6,28,6.0534045696258545,0.020144224166870117,0.001958131790161133,4.0353569984436035,10.111023664474487
7,7,28,6.222976207733154,0.01992034912109375,0.0008838176727294922,4.1465489864349365,10.391431093215942
7,8,28,5.898454427719116,0.019843578338623047,0.0012240409851074219,4.270333528518677,10.189971446990967
8,1,32,5.853112697601318,0.020104408264160156,0.0007624626159667969,4.0405566692352295,9.9146568775177
8,2,32,5.801072597503662,0.02009892463684082,0.0009250640869140625,4.1469337940216064,9.969194173812866
8,3,32,5.763829469680786,0.0195159912109375,0.0013861656188964844,4.135518550872803,9.920424699783325
8,4,32,5.749303102493286,0.01958322525024414,0.0007214546203613281,4.192419528961182,9.964085578918457
8,5,32,5.950193881988525,0.02102065086364746,0.000827789306640625,4.101637840270996,10.074000835418701
8,6,32,6.148346662521362,0.02089405059814453,0.0015454292297363281,4.142925977706909,10.313878297805786
8,7,32,6.0585081577301025,0.020328760147094727,0.0008358955383300781,4.126408100128174,10.206220149993896
8,8,32,5.769952058792114,0.019795894622802734,0.0010731220245361328,4.166053771972656,9.957002639770508
